product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/campus-siren-women-s-sports-shoes-integrated-nitrofly-technology-mesh-upper-lace-up-running-women/p/itm9bc2ef8d1a2c3?pid=SHOHFS59TZRPFTBQ&lid=LSTSHOHFS59TZRPFTBQSNAQKT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHFS59TZRPFTBQ.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,SIREN Women's Sports Shoes | Integrated NitroFly Technology |Mesh Upper |Lace-Up Running Shoes For Women,CAMPUS ,1221,0.44,4.4,2134
https://www.flipkart.com/campus-ciara-breathable-anti-slip-light-shoe-running-training-yoga-casual-wear-running-shoes-women/p/itm9ef36a18ddf1f?pid=SHOH4CKJPNVYYGYC&lid=LSTSHOH4CKJPNVYYGYCZR3SDZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_34&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOH4CKJPNVYYGYC.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,"CIARA Breathable, Anti-Slip, Light Shoe for Running, Training, Yoga, Casual Wear Running Shoes For Women",CAMPUS ,1256,0.37,4.4,2239
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itm6949640c6e097?pid=SHOGAA3TXZWKZCEK&lid=LSTSHOGAA3TXZWKZCEKJDCFAV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_35&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOGAA3TXZWKZCEK.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women,CAMPUS ,999,0.28,4.2,46254
https://www.flipkart.com/skitter-stylish-light-weight-sports-shoes-women-walking/p/itmda09243d51956?pid=SHOHASKN4FEYDZFR&lid=LSTSHOHASKN4FEYDZFRCGYIIM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_37&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-o4MKdoRWcHJJ6Fo60W1Ixynn0gw5r3xDilngkg7z1IvQ%3D%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,SKITTER STYLISH LIGHT WEIGHT SPORTS SHOES FOR WOMEN Walking Shoes For Women,SKITTER ,499,0.73,4,15
https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-women/p/itm837088a7c5da5?pid=SHOHYP7G6URPBZBZ&lid=LSTSHOHYP7G6URPBZBZ8OSDED&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_38&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-qA0kt9EHhEBvVFJP889OTuFUhsD-9nqgsoamjAqgP0YZwbh2M_hU4cdmqx8G2v09E%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,"Bersache Premium Sports ,Gym, Trending Stylish Running Shoes Running Shoes For Women",BERSACHE ,872,0.82,3.9,713
https://www.flipkart.com/campus-running-shoes-women/p/itm9de9fa9fb8c66?pid=SHOGRV4UURT73576&lid=LSTSHOGRV4UURT73576YLUAMT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_40&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOGRV4UURT73576.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,Running Shoes For Women,CAMPUS ,999,0.28,4.3,5404
https://www.flipkart.com/asian-casual-sneaker-shoes-women-stylish-comfortable-lace-up-style-running/p/itme1a7deaadb019?pid=SHOGUYAARGGMA8FX&lid=LSTSHOGUYAARGGMA8FX4ETO2M&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=d9efae40-8038-4141-a14c-423fda55a88c.SHOGUYAARGGMA8FX.SEARCH&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,Casual Sneaker Shoes For Women | Stylish and Comfortable | Lace-Up Style Running Shoes For Women,asian ,826,0.44,4.2,4440
https://www.flipkart.com/vokline-walking-shoes-women/p/itme148a73711343?pid=SHOGBSKNZZHWHXGD&lid=LSTSHOGBSKNZZHWHXGD7KRFGG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_44&otracker=search&otracker1=search&fm=Search&iid=d9efae40-8038-4141-a14c-423fda55a88c.SHOGBSKNZZHWHXGD.SEARCH&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,Walking Shoes For Women,Vokline ,372,0.62,4.1,134497
https://www.flipkart.com/puma-flexflare-wns-sports-women-white-running-shoes/p/itme6e171ad72a00?pid=SHOHAZ5BSYKZHE3M&lid=LSTSHOHAZ5BSYKZHE3MUZTYBG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_46&otracker=search&otracker1=search&fm=Search&iid=d9efae40-8038-4141-a14c-423fda55a88c.SHOHAZ5BSYKZHE3M.SEARCH&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,PUMA FlexFlare Wns Sports Women White Running Shoes For Women,PUMA ,2176,0.51,4.4,180
https://www.flipkart.com/campus-claire-women-s-sports-shoes-memory-foam-insole-cushioned-comfort-lace-up-running-women/p/itm2ea2c55376986?pid=SHOFW9E9WMXVDDRZ&lid=LSTSHOFW9E9WMXVDDRZITIRUQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_49&otracker=search&otracker1=search&fm=Search&iid=d9efae40-8038-4141-a14c-423fda55a88c.SHOFW9E9WMXVDDRZ.SEARCH&ppt=sp&ppn=sp&ssid=2yfbin3ohs0000001755848062875&qH=32e27b1148959538,CLAIRE Women's Sports Shoes | Memory Foam Insole for Cushioned Comfort | Lace-Up Running Shoes For Women,CAMPUS ,1116,0.2,4.3,44509
